Designator,Mid X,Mid Y,Rotation,Layer
C1,150.3,-98.3,90.0,top
C10,148.7,-98.3,270.0,top
C11,158.3,-95.7,270.0,top
C12,152.2,-108.0,0.0,bottom
C13,117.0,-101.37,270.0,bottom
C14,112.0,-101.37,90.0,bottom
C15,166.9,-100.9,90.0,bottom
C16,160.7,-95.7,270.0,top
C2,163.15,-112.9,90.0,bottom
C3,128.18,-98.4,180.0,top
C4,160.45,-102.5,270.0,bottom
C5,170.0,-113.2,0.0,top
C6,170.0,-116.3,0.0,top
C7,152.2,-106.3,180.0,bottom
C8,164.65,-112.9,270.0,bottom
C9,180.0,-89.1,180.0,top
D1,123.03,-109.5,0.0,top
D2,132.03,-109.5,0.0,top
D3,141.03,-109.5,0.0,top
D4,179.5625,-100.9,180.0,bottom
J1,154.63,-90.79,180.0,top
J2,171.83,-90.79,180.0,top
J3,124.9,-93.6,180.0,bottom
J4,101.3,-97.75,270.0,top
J5,169.96,-128.55,90.0,top
J6,105.7,-110.5,0.0,top
J7,185.74,-95.02,180.0,top
JP1,179.5,-96.775,180.0,top
JP2,175.9,-96.775,180.0,top
JP3,110.525,-120.65,0.0,top
R1,140.1,-92.4,0.0,top
R10,128.4,-95.1,0.0,top
R12,128.4,-101.7,0.0,top
R13,128.4,-93.6,0.0,top
R14,128.4,-103.2,0.0,top
R15,158.7,-99.1,0.0,top
R16,124.305,-113.8,0.0,bottom
R17,133.305,-113.8,0.0,bottom
R18,142.305,-113.8,0.0,bottom
R19,174.0,-105.0,180.0,bottom
R2,128.4,-96.6,180.0,top
R20,182.6,-100.68,270.0,bottom
R21,158.7,-100.6,0.0,top
R3,103.2,-105.45,270.0,top
R4,104.75,-105.45,270.0,top
R5,170.0,-119.3,0.0,top
R6,170.0,-111.7,0.0,top
R7,170.0,-110.2,0.0,top
R8,170.0,-117.8,180.0,top
R9,180.0,-90.6,180.0,top
SW1,112.4,-105.0,180.0,top
SW2,154.4,-105.0,0.0,top
SW3,117.0,-122.2,0.0,top
SW4,133.3,-122.2,0.0,top
SW5,149.6,-122.2,0.0,top
SW6,173.2,-112.8,0.0,top
U1,135.1,-96.5,180.0,top
U2,158.2,-108.8,90.0,bottom
U3,148.27,-94.8,0.0,top
U4,109.25,-97.8,270.0,top
U5,114.5,-100.8,90.0,bottom
U6,154.4,-97.8,0.0,top
U7,171.6,-100.9,180.0,bottom
Y1,142.5,-100.4,0.0,top
